festival_name,dong_name,lat,lng,address,matched
2025 국토정중앙 청춘양구 배꼽축제,양구읍,38.1080405251365,127.990430398263,강원특별자치도 양구군 양구읍,강원특별자치도 양구군 양구읍
2025 청춘양구 펀치볼시래기사과축제,해안면,38.2851684890133,128.137124728997,강원특별자치도 양구군 해안면,강원특별자치도 양구군 해안면
국토정중앙 양구 보름달 축제,국토정중앙면,38.1084781281203,128.034570007438,강원특별자치도 양구군 국토정중앙면,강원특별자치도 양구군 국토정중앙면
2025 인제 가을꽃축제,북면,38.1246704618065,128.204172526138,강원특별자치도 인제군 북면,강원특별자치도 인제군 북면
만해축전,북면,38.1246704618065,128.204172526138,강원특별자치도 인제군 북면,강원특별자치도 인제군 북면
합강문화제,인제읍,38.0703902211485,128.172217558963,강원특별자치도 인제군 인제읍,강원특별자치도 인제군 인제읍
용대황태축제,북면,38.1246704618065,128.204172526138,강원특별자치도 인제군 북면,강원특별자치도 인제군 북면
하추리도리깨축제,인제읍,38.0703902211485,128.172217558963,강원특별자치도 인제군 인제읍,강원특별자치도 인제군 인제읍
인제천리길걷기축제,인제읍,38.0703902211485,128.172217558963,강원특별자치도 인제군 인제읍,강원특별자치도 인제군 인제읍
제25회 고성통일명태축제,거진읍,38.4361391562227,128.452553768285,강원특별자치도 고성군 거진읍,강원특별자치도 고성군 거진읍
춘천막국수닭갈비축제,강남동,37.8688216587831,127.719728736766,강원특별자치도 춘천시 강남동,강원특별자치도 춘천시 강남동
춘천아트페어 아르로드 R.OAD,조운동,37.8682481853964,127.721132391747,강원특별자치도 춘천시 온의동 583,아로하츄러스
춘천영화제,퇴계동,37.8623581033746,127.729434261646,강원특별자치도 춘천시 퇴계동,강원특별자치도 춘천시 퇴계동
2026 공연예술제,약사명동/동내면,37.8478361956993,127.761140115421,강원특별자치도 춘천시 동내면 동내로 78,동내면 행정복지센터
춘천 오페라 페스티벌,강남동,37.8688216587831,127.719728736766,강원특별자치도 춘천시 강남동,강원특별자치도 춘천시 강남동
2026 온세대합창페스티벌,강남동,37.8728179306837,127.702469333568,강원특별자치도 춘천시 스포츠타운길399번길 22,KT&G상상마당 춘천스테이호텔
춘천커피축제,강남동,37.8688216587831,127.719728736766,강원특별자치도 춘천시 강남동,강원특별자치도 춘천시 강남동
2026 춘천 반려동물 페스티벌,서면,37.8986923448081,127.692791905634,강원특별자치도 춘천시 서면,강원특별자치도 춘천시 서면
2026년 제5회 강원한우데이,조운동,37.8796776402114,127.730009694552,강원특별자치도 춘천시 조운동,강원특별자치도 춘천시 조운동
제6회 춘천 술 페스타,조운동,37.8796776402114,127.730009694552,강원특별자치도 춘천시 조운동,강원특별자치도 춘천시 조운동
춘천 애니토이페스티벌,서면,37.8986923448081,127.692791905634,강원특별자치도 춘천시 서면,강원특별자치도 춘천시 서면
춘천 감자페스타,신북읍,37.9259016421481,127.746212145455,강원특별자치도 춘천시 신북읍,강원특별자치도 춘천시 신북읍
2026 댄싱카니발,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
혁신도시 상생마켓,반곡관설동,37.3297311773711,127.974308288136,강원특별자치도 원주시 반곡관설동,강원특별자치도 원주시 반곡관설동
혁신페스타,반곡관설동,37.3297311773711,127.974308288136,강원특별자치도 원주시 반곡관설동,강원특별자치도 원주시 반곡관설동
2026 원주라면축제,우산동,37.3714829095559,127.940063693835,강원특별자치도 원주시 우산동,강원특별자치도 원주시 우산동
2026 원주만두축제,중앙동,37.3494276381688,127.950749503169,강원특별자치도 원주시 중앙동,강원특별자치도 원주시 중앙동
제12회 치악산한우 축제,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
제32회 국제걷기대회,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
제63회 농업인의 날 삼토 페스티벌,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
경포 벚꽃 축제,경포동,37.7913393205043,128.896522675187,강원특별자치도 강릉시 운정동 14,경포가시연습지 습지광장
솔올블라썸,교동,37.76667807653266,128.9040538825995,강원특별자치도 강릉시 강릉대로359번길 5-18,일원
남산 벚꽃 축제,강남동,37.7441722081056,128.905623339912,강원특별자치도 강릉시 강남동,강원특별자치도 강릉시 강남동
강릉 차문화 축제,경포동,37.777211140306534,128.87849718174908,강원특별자치도 강릉시 죽헌길 114,강릉오죽한옥마을
강릉단오제,"강남동,중앙동",37.7515622380184,128.8924069980608,강원특별자치도 강릉시 경강로 2046,강릉중앙동우체국
강릉 비치비어 페스티벌,경포동,37.7837421724456,128.880646600214,강원특별자치도 강릉시 경포동,강원특별자치도 강릉시 경포동
경포 썸머 페스티벌,경포동,37.7837421724456,128.880646600214,강원특별자치도 강릉시 경포동,강원특별자치도 강릉시 경포동
강릉 국가유산야행,중앙동,37.7561200385719,128.89406168476,강원특별자치도 강릉시 중앙동,강원특별자치도 강릉시 중앙동
강릉 누들 축제,중앙동,37.76667807653266,128.9040538825995,강원특별자치도 강릉시 강릉대로359번길 5-18,일원
제18회 강릉커피축제,송정동,37.7727057552744,128.930664750816,강원특별자치도 강릉시 경강로 2496-32,송정동1042번지일원아파트 (예정)
2026 강릉크리스마스 겨울축제,"중앙동·옥천동,교2동,송정동",37.76667807653266,128.9040538825995,강원특별자치도 강릉시 강릉대로359번길 5-18,일원
제8회 묵호등대 논골담길 축제,묵호동,37.5509435396211,129.117605728386,강원특별자치도 동해시 묵호진동 13-64,묵호항수변공원
제13회 전천축제,북평동,37.4838308233309,129.125223115384,강원특별자치도 동해시 북평동,강원특별자치도 동해시 북평동
