datetime,hour,STN,TA,RN,SD_TOT
2023-08-28,5,131,25.6,0.0,
2023-08-28,6,131,24.7,0.0,
2023-08-28,7,131,24.2,0.0,
2023-08-28,8,131,24.6,0.0,
2023-08-28,9,131,25.2,0.0,
2023-08-28,10,131,25.7,0.0,
2023-08-28,11,131,26.8,0.0,
2023-08-28,12,131,27.5,0.0,
2023-08-28,13,131,28.5,0.0,
2023-08-28,14,131,29.4,0.0,
2023-08-28,15,131,29.1,0.0,
2023-08-28,16,131,29.2,0.0,
2023-08-28,17,131,29.6,0.0,
2023-08-28,18,131,29.2,0.0,
2023-08-28,19,131,28.7,0.0,
2023-08-28,20,131,28.2,0.0,
2023-08-28,21,131,28.2,0.0,
2023-08-28,22,131,28.1,0.0,
2023-08-28,23,131,27.7,0.0,
2023-08-29,0,131,27.6,0.0,
2023-08-29,1,131,27.3,0.0,
2023-08-29,2,131,27.1,0.0,
2023-08-29,3,131,27.1,0.0,
2023-08-29,4,131,27.0,0.0,
2023-08-29,5,131,26.7,0.0,
2023-08-29,6,131,26.2,0.0,
2023-08-29,7,131,27.0,0.0,
2023-08-29,8,131,27.3,0.0,
2023-08-29,9,131,26.6,0.0,
2023-08-29,10,131,26.6,0.0,
2023-08-29,11,131,27.7,0.2,
2023-08-29,12,131,27.8,0.0,
2023-08-29,13,131,28.8,0.0,
2023-08-29,14,131,28.6,0.0,
2023-08-29,15,131,26.5,1.1,
2023-08-29,16,131,26.2,0.6,
2023-08-29,17,131,26.3,0.0,
2023-08-29,18,131,24.5,0.4,
2023-08-29,19,131,23.7,0.6,
2023-08-29,20,131,23.0,1.0,
